area,ciudad,conglomerado,panelm,vivienda,hogar,vi01,vi02,vi03a,vi03b,vi04a,vi04b,vi05a,vi05b,vi06,vi07,vi07a,vi07b,vi08,vi09,vi09a,vi09b,vi10,vi101,vi102,vi10a,vi11,vi12,vi13,vi14,vi141,vi142,vi143,vi144,vi1511,vi1521,vi1512,vi1522,vi1531,vi1541,vi1532,vi1542,vi1533,vi1543,vi1534,vi1544,vi1535,vi1545,vi1536,vi1546,estrato,fexp,upm,id_vivienda,id_hogar,periodo,provincia,area_etiqueta,grupo_cuartos,grupo_dormitorios
1,110150,1902,75,1,1,1,2,1,1,2,1,1,1,3,2,0,1,1,1, , ,1, , ,1,1,1,2,4,200, , , ,1,1,2, ,2, ,2, ,2, ,1,40,2, ,2, ,1113,"86,8142126297466",110150001902,11015000190207501,110150001902075011,202602,11,Urbana,3-4 cuartos,1 dormitorio
1,110150,1902,75,2,1,1,2,1,1,2,2,1,2,3,2,0,1,1,1, , ,1, , ,1,1,1,2,1,200,2,2,2,2, ,2, , , , , , , , , , , , , ,1113,"86,8142126297466",110150001902,11015000190207502,110150001902075021,202602,11,Urbana,3-4 cuartos,1 dormitorio
1,110150,1902,75,3,1,1,2,1,1,2,1,1,1,3,2,0,1,1,1, , ,1, , ,1,1,1,2,5,160, , , ,1,1,2, ,2, ,1,60,2, ,2, ,2, ,2, ,1113,"86,8142126297466",110150001902,11015000190207503,110150001902075031,202602,11,Urbana,3-4 cuartos,1 dormitorio
1,110150,1902,75,4,1,1,2,1,1,2,1,1,1,5,4,0,1,1,1, , ,1, , ,1,1,1,2,5,200, , , ,1,1,2, ,2, ,2, ,2, ,1,35,2, ,2, ,1113,"86,8142126297466",110150001902,11015000190207504,110150001902075041,202602,11,Urbana,5 o más cuartos,1 dormitorio
1,110150,1902,75,6,1,1,2,3,1,2,1,1,1,5,4,0,1,1,1, , ,1, , ,1,1,1,2,4,250, , , ,1,1,1,1,2, ,2, ,2, ,1,80,2, ,2, ,1113,"86,8142126297466",110150001902,11015000190207506,110150001902075061,202602,11,Urbana,5 o más cuartos,1 dormitorio
1,110150,1902,75,7,1,1,2,1,2,2,2,1,2,4,3,0,1,1,1, , ,1, , ,1,1,1,2,5,250, , , ,2, ,2, , , , , , , , , , , , , ,1113,"86,8142126297466",110150001902,11015000190207507,110150001902075071,202602,11,Urbana,3-4 cuartos,1 dormitorio
1,110150,1902,75,9,1,1,1,1,1,2,1,1,1,6,3,0,1,1,1, , ,1, , ,1,1,1,2,4,600, , , ,1,1,2, ,2, ,2, ,2, ,1,60,2, ,2, ,1113,"86,8142126297466",110150001902,11015000190207509,110150001902075091,202602,11,Urbana,5 o más cuartos,1 dormitorio
1,110150,2305,63,1,1,1,1,1,2,4,2,1,2,5,4,0,1,1,1, , ,1, , ,1,1,1,2,4,200, , , ,2, ,2, , , , , , , , , , , , , ,1112,"712,472115969407",110150002305,11015000230506301,110150002305063011,202602,11,Urbana,5 o más cuartos,1 dormitorio
1,110150,2305,63,2,1,1,2,1,1,2,1,1,1,4,3,0,1,1,1, , ,1, , ,1,1,1,2,4,200, , , ,1,1,2, ,2, ,2, ,2, ,1,60,2, ,2, ,1112,"712,472115969407",110150002305,11015000230506302,110150002305063021,202602,11,Urbana,3-4 cuartos,1 dormitorio
1,110150,2305,63,3,1,1,2,1,2,1,1,1,2,3,2,0,1,1,1, , ,1, , ,1,1,1,2,1,160,2,2,2,2, ,2, , , , , , , , , , , , , ,1112,"712,472115969407",110150002305,11015000230506303,110150002305063031,202602,11,Urbana,3-4 cuartos,1 dormitorio
